Original Score,Relative Score,Rank,供应商,材料分类
0.6236679022012909,100.0,1,S151,C
0.5988991381783884,96.02853314472671,2,S140,B
0.5738076961545706,92.00532753557876,3,S348,A
0.5299241156578847,84.9689576435585,4,S229,A
0.5194000893555849,83.28151689742513,5,S374,C
0.514028965451117,82.42030151572759,6,S361,C
0.5050886088424795,80.98678913244127,7,S108,B
0.4956782676824411,79.47791860586393,8,S201,A
0.44589591666736195,71.49572955310558,9,S330,B
0.4315543216870221,69.19617318188304,10,S308,B
0.40546036201244473,65.01222214280014,11,S282,A
0.4035419893208394,64.70462691706634,12,S340,B
0.39374636226590426,63.13397897761641,13,S275,A
0.39243686051972654,62.924011182006645,14,S329,A
0.3802564093061774,60.97097637445006,15,S131,B
0.38010331248619,60.946428563115376,16,S356,C
0.3740213250969839,59.971232089521145,17,S268,C
0.37271836141282855,59.76231261818769,18,S306,C
0.3563215755040878,57.133223346338546,19,S194,C
0.3555100625091334,57.00310393629836,20,S143,A
0.35002714598866475,56.12396353142643,21,S352,A
0.3377348130657217,54.152989415305306,22,S139,B
0.3355934853966072,53.8096451993281,23,S284,C
0.3325703733694096,53.32491414029376,24,S247,C
0.32638376613523135,52.33294273815135,25,S365,C
0.32567519508278675,52.21932921884987,26,S031,B
0.3228199203322136,51.761509481695654,27,S040,B
0.3227455800571834,51.749589632242476,28,S055,B
0.32247524151329293,51.70624307826138,29,S364,B
0.32102619554711265,51.47390051885344,30,S367,B
0.3187504109545217,51.10899724508252,31,S346,B
0.3171936757103769,50.85938759888297,32,S294,C
0.316405854489174,50.733066969198134,33,S080,C
0.31577540861054665,50.63198017662758,34,S244,C
0.3152457485292205,50.54705355470962,35,S218,C
0.31114562928977674,49.88963327943618,36,S150,A
0.3110924471618629,49.88110596422145,37,S123,A
0.31107505156423226,49.87831672373477,38,S007,A
0.3103304324605981,49.75892319698664,39,S266,A
0.28748787477727367,46.0963076282361,40,S126,C
0.24270890976209028,38.9163702196999,41,S307,A
0.20014692419107927,32.091907164797654,42,S395,A
0.1670082383373498,26.778392434159187,43,S037,C
0.15438235367266523,24.753936049580087,44,S314,C
0.142189527889495,22.798917081931666,45,S114,A
0.13664903800422576,21.910545263258047,46,S338,B
0.13097698637270405,21.001078604560092,47,S291,A
0.12758022160897695,20.456435413570475,48,S086,C
0.1229383321582514,19.712146757004763,49,S003,C
0.11896778365294985,19.07550207939876,50,S098,B
