供应商,sum,max,供货次数,MSE,间隔周数,平均间隔周数,平均连续天数,稳定性,间隔周数(归一化),平均间隔周数(归一化),平均连续天数(归一化)
S001,49,6,25,21.366666666666667,215,9.192307692307692,1.25,0.0989010989010989,0.100418410041841,0.9655448717948718,0.0010460251046025104
S002,273,67,71,16.366666666666667,169,3.3194444444444446,1.5434782608695652,0.37894736842105264,0.2928870292887029,0.9902199074074073,0.0022739676187011094
S003,13138,387,191,2262.5208333333335,49,1.2447916666666667,11.9375,0.6984924623115578,0.7949790794979079,0.9989366319444445,0.04576359832635983
S004,64,8,33,237.14583333333334,207,7.029411764705882,1.65,0.11650485436893204,0.13389121338912133,0.9746323529411764,0.002719665271966527
S005,6912,128,107,14.1,133,2.212962962962963,15.285714285714286,0.8070175438596491,0.4435146443514644,0.9948688271604939,0.05977286312014346
S006,30,5,13,166.86666666666667,227,17.071428571428573,1.3,0.05454545454545454,0.0502092050209205,0.9324404761904761,0.0012552301255230127
S007,6948,155,240,372.15,0,0.991701244813278,240.0,0.3541666666666667,1.0,1.0,1.0
S008,41,13,15,1.0541666666666667,225,14.9375,1.0,0.16071428571428573,0.058577405857740586,0.94140625,0.0
S009,31,4,19,801.95,221,11.95,1.4615384615384615,0.125,0.07531380753138076,0.9539583333333334,0.0019311232700354036
S010,170,30,32,101.54166666666667,208,7.242424242424242,2.0,0.1590909090909091,0.1297071129707113,0.9737373737373737,0.0041841004184100415
S011,85,11,32,0.12916666666666668,208,7.242424242424242,1.6,0.3488372093023256,0.1297071129707113,0.9737373737373737,0.0025104602510460255
S012,29,6,12,45.854166666666664,228,18.384615384615383,1.5,0.04411764705882353,0.04602510460251046,0.9269230769230768,0.0020920502092050207
S013,44,9,20,0.08333333333333333,220,11.380952380952381,1.25,0.3448275862068966,0.0794979079497908,0.9563492063492063,0.0010460251046025104
S014,28,3,16,0.075,224,14.058823529411764,1.4545454545454546,0.3333333333333333,0.06276150627615062,0.9450980392156862,0.0019018638265500191
S015,28,4,15,462668.9125,225,14.9375,1.1538461538461537,0.14814814814814814,0.058577405857740586,0.94140625,0.0006437077566784676
S016,37,7,17,0.04583333333333333,223,13.277777777777779,1.2142857142857142,0.5454545454545454,0.06694560669456066,0.9483796296296296,0.0008965929468021514
S017,138,25,25,4.025,215,9.192307692307692,1.6666666666666667,0.16417910447761194,0.100418410041841,0.9655448717948718,0.0027894002789400282
